FileName,WER,NO. of words,NO. Added Words,NO. Missing Words,levenshtein Distance,Jacard Distance,Cosine similarity
remBigThink,0.1294851794071763,623,56,38,276,0.8827586206896552,0.9616056563642603
rainbow2,0.060790273556231005,328,15,14,50,0.9234972677595629,0.9934069766482905
TheCoolest,0.11347517730496454,831,67,52,317,0.8341463414634146,0.9891925661808575
monopoly,0.034904013961605584,572,17,16,57,0.9512195121951219,0.9938221458983177
klein,0.1346704871060172,699,59,60,450,0.832807570977918,0.9780852219421927
Justin_0A_USB_mic,0.07142857142857142,97,6,5,20,0.9154929577464789,0.9767049819534509
ytComments,0.0449438202247191,363,6,13,50,0.9479166666666666,0.9916656269814597
fox,0.0,9,0,0,0,1.0,1.0
conversation,0.10893246187363835,911,83,76,244,0.8275,0.9659793902340437
